Year,Team,League,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,W,L,ERA,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT,DER,Result
2007,Chicago White Sox,0,5441,693,1341,249,20,190,667,532,1149,78,45,0.246,0.318,0.404,0.722,72,90,4.77,162,42,65,1440.2,1556,839,763,174,499,1015,0.276,1.43,1458,12966,6034,4322,1604,108,168,98,23,0.81,20,45,0.982,0.68,1
2007,Cincinnati Reds,1,5607,783,1496,293,23,204,747,536,1113,97,31,0.267,0.335,0.436,0.772,72,90,4.94,162,34,62,1449.2,1605,853,796,198,482,1068,0.282,1.44,1458,13047,5961,4349,1517,95,155,88,31,0.739,14,54,0.984,0.678,-1
2007,Cleveland Indians,0,5604,811,1504,305,27,178,784,590,1202,72,41,0.268,0.343,0.428,0.771,96,66,4.05,162,49,64,1462.2,1519,704,658,146,410,1047,0.268,1.32,1458,13164,6177,4388,1697,92,167,93,46,0.669,8,42,0.985,0.684,-1
2007,Detroit Tigers,0,5757,887,1652,352,50,177,857,474,1054,103,30,0.287,0.345,0.458,0.802,88,74,4.57,162,44,65,1447.1,1498,797,735,174,566,1047,0.266,1.43,1458,13026,6076,4342,1635,99,148,73,31,0.702,10,75,0.984,0.69,-1
2007,Florida Marlins,1,5627,790,1504,340,38,201,749,521,1332,105,34,0.267,0.336,0.448,0.784,71,91,4.94,162,40,65,1443.2,1617,891,793,176,661,1142,0.285,1.58,1458,12993,5978,4331,1510,137,159,94,33,0.74,19,67,0.977,0.661,-1
2007,Houston Astros,1,5605,723,1457,293,30,167,700,547,1043,65,33,0.26,0.33,0.412,0.742,73,89,4.68,162,38,64,1464.2,1566,813,761,206,510,1109,0.273,1.42,1458,13182,6186,4394,1689,103,128,84,28,0.75,6,40,0.983,0.684,-1
2007,Kansas City Royals,0,5534,706,1447,300,46,102,660,428,1069,78,44,0.261,0.322,0.388,0.71,69,93,4.48,162,36,54,1437.1,1547,778,716,168,520,993,0.277,1.44,1458,12936,5971,4312,1553,106,160,70,26,0.729,5,56,0.982,0.682,-1
2007,Los Angeles Angels,0,5554,822,1578,324,23,123,776,507,883,139,55,0.284,0.345,0.417,0.762,94,68,4.23,162,43,57,1435,1480,731,674,151,477,1156,0.266,1.36,1458,12915,5956,4305,1550,101,154,107,31,0.775,8,69,0.983,0.678,1
2007,Los Angeles Dodgers,1,5614,735,1544,276,35,129,706,511,864,137,50,0.275,0.337,0.406,0.743,82,80,4.2,162,43,60,1450,1443,727,677,146,518,1184,0.261,1.35,1458,13050,6115,4350,1651,114,160,96,46,0.676,5,44,0.981,0.683,1
2007,Milwaukee Brewers,1,5554,801,1455,310,37,231,774,501,1137,96,32,0.262,0.329,0.456,0.785,83,79,4.41,162,49,69,1444.1,1513,776,708,161,507,1174,0.269,1.4,1458,12999,5971,4333,1529,109,144,99,24,0.805,6,57,0.982,0.676,1
2007,Minnesota Twins,0,5522,718,1460,273,36,118,671,512,839,112,30,0.264,0.33,0.391,0.721,79,83,4.15,162,38,52,1436.2,1505,725,663,185,420,1094,0.269,1.34,1458,12930,6016,4310,1611,95,151,65,41,0.613,6,46,0.984,0.685,-1
2007,New York Mets,1,5605,804,1543,294,27,177,761,549,981,200,46,0.275,0.342,0.432,0.775,88,74,4.26,162,39,57,1452.1,1415,750,687,165,570,1134,0.255,1.37,1458,13071,5976,4357,1518,101,124,105,29,0.784,5,36,0.983,0.7,-1
2007,New York Yankees,0,5717,968,1656,326,32,201,929,637,991,123,40,0.29,0.366,0.463,0.829,94,68,4.49,162,34,55,1450.2,1498,777,724,150,578,1009,0.268,1.43,1458,13056,6028,4352,1588,88,174,136,44,0.756,16,59,0.985,0.688,-1
2007,Oakland Athletics,0,5577,741,1430,295,16,171,711,664,1119,52,20,0.256,0.338,0.407,0.745,76,86,4.28,162,36,61,1448,1468,758,689,138,530,1036,0.263,1.38,1458,13032,6121,4344,1687,90,153,101,26,0.795,16,52,0.985,0.692,-1
2007,Philadelphia Phillies,1,5688,892,1558,326,41,213,850,641,1205,138,19,0.274,0.354,0.458,0.812,89,73,4.73,162,42,63,1458.1,1555,821,767,198,558,1050,0.276,1.45,1458,13125,6187,4375,1723,89,162,84,39,0.683,8,46,0.986,0.685,1
2007,Pittsburgh Pirates,1,5569,724,1463,322,31,148,694,463,1135,68,30,0.263,0.325,0.411,0.736,68,94,4.93,162,32,51,1447.2,1627,846,793,174,518,997,0.288,1.48,1458,13029,6147,4343,1721,83,190,110,35,0.759,13,45,0.986,0.673,-1
