Year,Team,League,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,W,L,ERA,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT,DER,Result
2006,San Diego Padres,1,5576,731,1465,298,38,161,698,564,1104,123,31,0.263,0.332,0.416,0.749,88,74,3.87,162,50,71,1463.2,1385,679,629,176,468,1097,0.249,1.27,1458,13173,6079,4391,1596,92,139,150,26,0.852,11,34,0.985,0.713,-1
2006,Seattle Mariners,0,5670,756,1540,266,42,172,703,404,974,106,37,0.272,0.325,0.424,0.749,78,84,4.6,162,47,67,1446.2,1500,792,739,183,560,1067,0.267,1.42,1458,13020,6058,4340,1630,88,150,72,38,0.655,16,47,0.985,0.689,-1
2006,Tampa Bay Devil Rays,0,5474,689,1395,267,33,190,650,441,1106,134,52,0.255,0.314,0.42,0.733,61,101,4.96,162,33,54,1420.1,1600,856,782,180,606,979,0.286,1.55,1458,12783,5971,4261,1594,116,156,108,46,0.701,8,70,0.981,0.671,-1
2006,Texas Rangers,0,5659,835,1571,357,23,183,799,505,1061,53,24,0.278,0.338,0.446,0.784,80,82,4.6,162,42,65,1431.1,1558,784,731,162,496,972,0.278,1.44,1458,12882,6140,4294,1748,98,174,67,40,0.626,11,34,0.984,0.68,-1
2006,Toronto Blue Jays,0,5596,809,1591,348,27,199,778,514,906,65,33,0.284,0.348,0.463,0.811,87,75,4.37,162,42,62,1428.1,1447,754,694,185,504,1076,0.262,1.37,1458,12855,6096,4285,1712,99,157,130,32,0.802,15,53,0.984,0.692,-1
2006,Washington Nationals,1,5495,746,1437,322,22,164,695,594,1156,123,62,0.262,0.338,0.418,0.756,71,91,5.03,162,32,55,1436.1,1535,872,803,193,584,960,0.274,1.48,1458,12927,5941,4309,1501,131,123,110,30,0.786,11,47,0.978,0.692,-1
2006,San Francisco Giants,1,5472,746,1418,297,52,163,711,494,891,58,25,0.259,0.324,0.422,0.746,76,85,4.63,161,37,59,1429.2,1422,790,735,153,584,992,0.261,1.4,1449,12867,5961,4289,1581,91,132,98,40,0.71,5,50,0.985,0.7,-1
2006,St. Louis Cardinals,1,5522,781,1484,292,27,184,745,531,922,59,32,0.269,0.337,0.431,0.769,83,78,4.54,161,38,57,1429.2,1475,762,721,193,504,970,0.268,1.38,1449,12867,6169,4289,1782,98,170,63,32,0.663,8,35,0.984,0.697,-1
2005,Cincinnati Reds,1,5565,820,1453,335,15,222,784,611,1303,72,23,0.261,0.339,0.446,0.785,73,89,5.15,163,31,47,1433,1657,889,820,219,492,955,0.29,1.5,1467,12897,5990,4299,1587,104,133,76,35,0.685,9,53,0.983,0.677,-1
2005,Houston Astros,1,5462,693,1400,281,32,161,654,481,1037,115,44,0.256,0.322,0.408,0.73,89,73,3.51,163,45,58,1443,1336,609,563,155,440,1164,0.246,1.23,1467,12987,6118,4329,1700,89,146,53,31,0.631,6,38,0.985,0.706,-1
2005,Arizona Diamondbacks,1,5550,696,1419,291,27,191,670,606,1094,67,26,0.256,0.332,0.421,0.754,77,85,4.84,162,45,62,1456.1,1580,856,783,193,537,1038,0.278,1.45,1458,13107,6257,4369,1794,94,159,78,28,0.736,11,58,0.985,0.683,-1
2005,Atlanta Braves,1,5486,769,1453,308,37,184,733,534,1084,92,32,0.265,0.333,0.435,0.768,90,72,3.98,162,38,62,1443.2,1487,674,639,145,520,929,0.268,1.39,1458,12993,6219,4331,1802,86,170,89,36,0.712,8,42,0.986,0.694,-1
2005,Baltimore Orioles,0,5551,729,1492,296,27,189,700,447,902,83,37,0.269,0.327,0.434,0.761,74,88,4.56,162,38,57,1427.2,1458,800,724,180,580,1052,0.263,1.43,1458,12849,6069,4283,1679,107,154,115,34,0.772,13,70,0.982,0.693,-1
